Carpet Area,Super Area,Bathroom,Balcony,Price (in rupees)
-0.30433221696531526,0.0,-1.6462839749847107,-0.0019739169739981305,-0.06108617238517561
-0.3160741809297256,0.0,-0.4934721133614807,0.0,0.2397217046676589
-0.18299858933307456,0.0,-0.4934721133614807,0.0,0.38246948681569587
-0.29128559033819257,0.0,-1.6462839749847107,-1.217871681099604,1.0523778834380641e-16
-0.24562239714326328,0.0,-0.4934721133614807,0.0,0.4335362427097788
0.0,-0.4858290433160989,-1.6462839749847107,-1.217871681099604,-0.03724987696029399
-0.28258783925344416,0.0,-1.6462839749847107,0.0,-0.19461571083329884
0.0,-0.565169515886126,-1.6462839749847107,0.0,0.10997203183707353
0.0,-0.5462789271789766,-1.6462839749847107,0.0,0.09319405690208406
-0.13037719527034652,0.0,0.6593397482617491,-1.217871681099604,0.1375496228221712
-0.10863281755847543,0.0,-0.4934721133614807,0.0,0.17704536151970968
0.0,-0.11935162239740275,-0.4934721133614807,0.0,0.15776033285880223
0.0,-0.36190678139719956,-0.4934721133614807,0.0,0.3244215505463644
0.26971935462808155,0.0,1.812151609884979,-1.217871681099604,0.38347230830606305
0.0,-0.5084977497646781,-1.6462839749847107,0.0,0.15251480506303539
-0.22822689497376641,0.0,-0.4934721133614807,-1.217871681099604,0.09319405690208406
-0.24040374649241422,0.0,-1.6462839749847107,-0.0019739169739981305,-0.07126866751813474
0.0,-0.591616340076135,-1.6462839749847107,0.0,-0.042533974813382634
-0.26084346154157306,0.0,-0.4934721133614807,0.0,0.14140662855435268
0.0,-0.6067288110418544,-1.6462839749847107,-1.217871681099604,-0.0328914604829289
-0.33477434576193477,0.0,-1.6462839749847107,0.0,0.03807744498921054
-0.23257577051614065,0.0,-0.4934721133614807,-0.0019739169739981305,0.28604434351115865
-0.2795436263737822,0.0,-0.4934721133614807,0.0,0.17854959375526044
-0.14342382189746916,0.0,-0.4934721133614807,-1.217871681099604,0.12944991078459006
0.0,-0.6029506933004245,-1.6462839749847107,0.0,1.0523778834380641e-16
0.0,-0.5613913981446961,-1.6462839749847107,0.0,-0.013220731248803297
-0.3965283784636487,0.0,-1.6462839749847107,-1.217871681099604,-0.036092775240639544
0.0,-0.5236102207303975,-1.6462839749847107,0.0,0.08096734873106873
-0.11950500641441097,0.0,0.6593397482617491,1.2139238471516076,0.26074238590804805
-0.33303479554498505,0.0,-1.6462839749847107,-1.217871681099604,-0.011446508611999811
0.0653222041364933,0.0,0.6593397482617491,-1.217871681099604,0.39508189555992934
-0.1521215729822176,0.0,-0.4934721133614807,-0.0019739169739981305,0.29360407474623434
-0.3186835062551502,0.0,-0.4934721133614807,-1.217871681099604,0.15521470907556242
-0.15255646053645502,0.0,0.6593397482617491,0.0,0.1320726746824735
-0.33042547021956054,0.0,-0.4934721133614807,1.2139238471516076,0.07942454643819613
0.0,-0.4782728078332392,-1.6462839749847107,1.2139238471516076,-0.1471745403274665
0.0,-0.4329353949360809,-1.6462839749847107,0.0,0.06746782866843351
0.0,-0.5840601045932752,-1.6462839749847107,0.0,1.0523778834380641e-16
-0.2438828469263136,0.0,-0.4934721133614807,-1.217871681099604,0.18456652269746357
-0.26084346154157306,0.0,-0.4934721133614807,1.2139238471516076,-0.1355263830162784
0.0,-0.6354425058767212,-1.6462839749847107,-0.0019739169739981305,-0.132479348487855
0.0,-0.16846715303599089,-0.4934721133614807,0.0,-0.04704667152003498
0.0,-0.41782292397036147,-0.4934721133614807,-0.0019739169739981305,-0.10717739088474443
0.0,-0.5991725755589946,-0.4934721133614807,0.0,0.14414510262420155
-0.12037478152288582,0.0,-0.4934721133614807,-0.0019739169739981305,1.0523778834380641e-16
-0.2521457104568246,0.0,-1.6462839749847107,-1.217871681099604,0.23783177185888998
-0.28258783925344416,0.0,-0.4934721133614807,0.0,0.1574903424575495
-0.3621722616788923,0.0,-1.6462839749847107,0.0,-0.11620278429804912
-0.26084346154157306,0.0,-0.4934721133614807,-1.217871681099604,0.08355154257163032
-0.13907494635509496,0.0,-0.4934721133614807,0.0,0.20200018860692392
-0.35651872347380587,0.0,-1.6462839749847107,-1.217871681099604,0.02554217635962069
0.0,-0.6361981294250072,-1.6462839749847107,0.0,-0.19627422329813687
0.0,-0.7117604842536044,-1.6462839749847107,0.0,0.03144339512985837
-0.35869316124499295,0.0,-1.6462839749847107,-1.217871681099604,-0.06208899387554279
-0.24518750958902588,0.0,-0.4934721133614807,1.2139238471516076,0.16667001610014145
0.0,-0.5538351626618363,-1.6462839749847107,1.2139238471516076,0.034374719486316305
0.0,-0.34981680462462406,-0.4934721133614807,-1.217871681099604,-0.15797415637757467
-0.26084346154157306,0.0,-0.4934721133614807,-0.0019739169739981305,0.044981485249815406
-0.23431532073309033,0.0,-0.4934721133614807,-1.217871681099604,0.16127020807508738
-0.22344313187715478,0.0,-0.4934721133614807,-1.217871681099604,-0.0760899246833616
-0.10863281755847543,0.0,0.6593397482617491,-0.0019739169739981305,0.15031631179569194
-0.30259266674836555,0.0,-1.6462839749847107,-1.217871681099604,-0.1430089741367105
-0.17430083824832612,0.0,-0.4934721133614807,0.0,0.30089381558005734
0.0,-0.6218412820075738,-1.6462839749847107,0.0,0.016053942258454225
-0.38261197672805114,0.0,-1.6462839749847107,0.0,0.43068205846796453
-0.23909908382970196,0.0,-0.4934721133614807,0.0,0.09319405690208406
-0.26693188730089695,0.0,-0.4934721133614807,-1.217871681099604,-0.00947943568858725
0.0,-0.24402950786458805,-0.4934721133614807,0.0,0.03533897091936168
8.907100088002975e-05,0.0,0.6593397482617491,-1.217871681099604,0.3760282872429528
-0.1995243163940966,0.0,-0.4934721133614807,-0.0019739169739981305,1.0523778834380641e-16
8.907100088002975e-05,0.0,0.6593397482617491,1.2139238471516076,1.0523778834380641e-16
0.0,0.0,-0.4934721133614807,0.0,1.0523778834380641e-16
-0.2651923370839473,0.0,-0.4934721133614807,-1.217871681099604,-0.02024048168137361
-0.10428394201610121,0.0,0.6593397482617491,-0.0019739169739981305,0.1494292004772902
0.0,-0.4064885707460719,-1.6462839749847107,0.0,-0.12052263071809238
0.0,-0.6392206236181511,-1.6462839749847107,0.0,-0.03374000174400883
-0.013827330734717468,0.0,0.6593397482617491,-1.217871681099604,0.23586469893547743
0.0,0.549375217835682,0.6593397482617491,0.0,0.29074989050442
0.0,-0.3951542175217823,-0.4934721133614807,1.2139238471516076,0.08355154257163032
-0.30433221696531526,0.0,-1.6462839749847107,-1.217871681099604,-0.005622429956405758
8.907100088002975e-05,0.0,0.6593397482617491,-1.217871681099604,0.16127020807508738
0.0,-0.5160539852475378,-0.4934721133614807,0.0,0.00880277148195302
-0.12167944418559808,0.0,-0.4934721133614807,-0.0019739169739981305,0.1941704669705955
-0.28258783925344416,0.0,-1.6462839749847107,-0.0019739169739981305,1.0523778834380641e-16
-0.3478209723890574,0.0,-1.6462839749847107,1.2139238471516076,1.0523778834380641e-16
-0.32172771913481213,0.0,-0.4934721133614807,-1.217871681099604,0.21534542844027188
0.0,-0.296923156244606,-0.4934721133614807,-0.0019739169739981305,-0.16807951139589017
-0.34608142217210774,0.0,-1.6462839749847107,-1.217871681099604,0.016053942258454225
-0.25040616023987494,0.0,-0.4934721133614807,-0.0019739169739981305,0.022726562175128202
0.0,0.08088861789837969,-0.4934721133614807,-1.217871681099604,0.06353368282160839
-0.29998334142294103,0.0,-1.6462839749847107,-1.217871681099604,-0.09614635449070537
-0.3260765946771863,0.0,-0.4934721133614807,-0.0019739169739981305,0.13789675333806753
0.0,-0.614285046524714,-1.6462839749847107,-1.217871681099604,0.4637751676500817
0.0,-0.4707165723503795,-0.4934721133614807,0.0,-0.01700059686634116
-0.28258783925344416,0.0,-1.6462839749847107,0.0,1.0523778834380641e-16
-0.339123221304309,0.0,-0.4934721133614807,0.0,0.031983375932363785
-0.1982196537313843,0.0,-0.4934721133614807,0.0,0.2423058985082205
0.0,-0.4896071610575288,-0.4934721133614807,0.0,0.05034272321754768
-0.199959203948334,0.0,-0.4934721133614807,-1.217871681099604,0.19062202169698853
0.0,-0.14806531723226968,-0.4934721133614807,1.2139238471516076,0.015513961455948815
-0.3134648556043011,0.0,-0.4934721133614807,-1.217871681099604,0.12054022754325082
-0.32825103244837345,0.0,-1.6462839749847107,-1.217871681099604,0.00417436460333523
-0.22344313187715478,0.0,-0.4934721133614807,-1.217871681099604,0.03807744498921054
0.17404409269584875,0.0,1.812151609884979,2.4298216112772133,1.0523778834380641e-16
-0.2499712726856375,0.0,-1.6462839749847107,-1.217871681099604,1.0523778834380641e-16
0.0,-0.013564325637366745,0.6593397482617491,0.0,-0.07084439688759478
0.0,-0.591616340076135,-1.6462839749847107,0.0,0.07174910503115496
-0.20039409150257143,0.0,-0.4934721133614807,0.0,1.0523778834380641e-16
0.0,-0.5795263633035593,-0.4934721133614807,0.0,0.39427192435617125
-0.34347209684668323,0.0,-1.6462839749847107,1.2139238471516076,0.0069128386731840885
-0.18473813955002424,0.0,-0.4934721133614807,2.4298216112772133,-0.08037120104608306
-0.3478209723890574,0.0,-1.6462839749847107,-1.217871681099604,-0.0652131685186098
-0.191696340417823,0.0,-0.4934721133614807,-1.217871681099604,0.2316991327447214
-0.29128559033819257,0.0,-0.4934721133614807,0.0,0.17723821180631874
-0.06905805012287004,0.0,0.6593397482617491,0.0,0.1936690562254119
0.0,-0.6974036368361709,-1.6462839749847107,-1.217871681099604,-0.14786880135925917
-0.2021336417195211,0.0,-0.4934721133614807,-1.217871681099604,0.025619316474264322
-0.3608675990161801,0.0,-1.6462839749847107,0.0,-0.044539617794117005
0.0,-0.5387226916961169,-0.4934721133614807,0.0,0.02365224355085176
0.0,-0.14579844658741176,-0.4934721133614807,2.4298216112772133,-0.1218340126670341
-0.18691257732121136,0.0,-0.4934721133614807,1.2139238471516076,-0.12268255392811402
-0.33477434576193477,0.0,-1.6462839749847107,0.0,0.183023720404591
-0.34347209684668323,0.0,-1.6462839749847107,-0.0019739169739981305,0.02889777134661859
0.0,-0.39817671171492625,-0.4934721133614807,0.0,-0.09383215105139647
-0.22257335676867993,0.0,-0.4934721133614807,1.2139238471516076,-0.11573994361018734
-0.2434479593720762,0.0,-0.4934721133614807,0.0,0.0759918113365546
-0.2260524572025793,0.0,-0.4934721133614807,-1.217871681099604,0.27470474665854505
-0.05514164838727254,0.0,0.6593397482617491,-1.217871681099604,0.5558033244199321
0.0,-0.43671351267751074,-1.6462839749847107,0.0,-0.14235328316223964
0.0,-0.4888515375092428,-1.6462839749847107,0.0,-0.14987444433999353
0.0,-0.49791902008867445,-1.6462839749847107,0.0,-0.13274933888910773
0.0,-0.3573730401074838,-1.6462839749847107,0.0,1.0523778834380641e-16
0.0,-0.5500570449204065,-1.6462839749847107,0.0,0.1936690562254119
0.06793152946191783,0.0,0.6593397482617491,-1.217871681099604,0.4034515979987632
-0.3478209723890574,0.0,-1.6462839749847107,0.0,0.03807744498921054
-0.31172530538735144,0.0,-0.4934721133614807,-1.217871681099604,0.15467472827305703
-0.3247719320144741,0.0,-0.4934721133614807,-1.217871681099604,-0.0344342627758015
-0.1956103284059598,0.0,-0.4934721133614807,0.0,-0.01700059686634116
-0.1738659506940887,0.0,-0.4934721133614807,1.2139238471516076,0.33086275011910754
-0.19126145286358556,0.0,-0.4934721133614807,0.0,0.36384014912925927
-0.30433221696531526,0.0,-0.4934721133614807,-1.217871681099604,0.10306799157646868
0.21927239833654064,0.0,1.812151609884979,-1.217871681099604,0.39978744255319076
-0.2664969997466595,0.0,-0.4934721133614807,-0.0019739169739981305,0.08983846191508615
0.0,-0.4699609488020935,-0.4934721133614807,0.0,-0.14945017370945357
-0.2177895936720683,0.0,-0.4934721133614807,-0.0019739169739981305,0.0935797574753022
0.0,-0.5288995855683993,-0.4934721133614807,-1.217871681099604,-0.162486853084227
0.0653222041364933,0.0,0.6593397482617491,1.2139238471516076,0.33140273092161293
-0.1899567902008733,0.0,-0.4934721133614807,-1.217871681099604,0.5721570287243816
-0.026004182253365277,0.0,0.6593397482617491,-0.0019739169739981305,0.35034062906662405
0.0,-0.829637757786216,-1.6462839749847107,0.0,0.6502999648583786
